StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,Geolocation
IL,Chicago,1714000,17031670200,1714000-17031670200,"1,380",20,26.8,15.8,47.7,77.2,4.9,13,7.3,76.6,67,51.3,8.6,21.3,17.8,25.9,39.7,17.5,39.1,4.4,37.5,81.2,16.1,46.3,87,17.4,45.6,6.1,30.4,"(41.79042479140, -87.6620626482)"
IL,Chicago,1714000,17031670300,1714000-17031670300,"1,411",19.5,27.4,15.4,46,77.5,4.8,13.5,6.9,76.7,70.6,51.7,8.8,21.2,18.4,26,41,17.6,38,4.4,37.1,81.1,16.5,46.8,86.6,17.9,45.7,5.8,28.1,"(41.79035764480, -87.6669166928)"
IL,Chicago,1714000,17031670400,1714000-17031670400,"1,956",21,27.8,15.4,46.5,77.5,4.9,13.4,7.2,76.3,69.1,50.8,9.2,20.5,17.5,26.4,39.1,18.1,38.7,4.6,38.5,81.1,16.6,46.7,86.4,18.3,45.5,6.2,30.5,"(41.79029967960, -87.6717697753)"
IL,Chicago,1714000,17031670500,1714000-17031670500,"1,321",19.3,27.5,15.7,45.8,77.6,5.1,13.1,7.2,77,70.3,53.4,8.7,21.3,18.7,25,41.5,17.7,38,4.5,36.4,81.7,15.8,46,86.8,17.3,45,6,28,"(41.78657828760, -87.6764043844)"
IL,Chicago,1714000,17031670600,1714000-17031670600,"1,650",18.7,27.3,16.3,46.3,78.1,5.2,13.3,6.9,77.5,70.9,54,8.4,21.8,19.6,24.2,44.1,17.1,38.2,4.3,35.2,80.4,15.3,44.3,86,16.8,44.6,5.7,26.9,"(41.78300550750, -87.6715771990)"
IL,Chicago,1714000,17031670700,1714000-17031670700,"1,491",20.6,29.9,14,47.4,78.5,5.3,13.7,8.2,77.4,70.5,48.2,10.1,20.7,16.7,26.9,36.9,19.8,38.8,5.1,40.6,80.6,17.2,48.5,87.1,19.7,46.1,7.2,34,"(41.78306861940, -87.6667314612)"
IL,Chicago,1714000,17031670800,1714000-17031670800,"1,635",22,31,13.7,51,79.8,5.6,14.3,8.7,77.7,68.5,47.7,10.7,20.1,16.1,27.5,36.5,20.2,41.4,5.3,41.9,80.3,17.5,47.1,85.9,20.4,45.8,7.6,36.1,"(41.78314423070, -87.6618790130)"
IL,Chicago,1714000,17031670900,1714000-17031670900,"1,351",16.4,26.7,16.1,45.7,78.6,5.5,12.3,7.2,78.2,72.9,55.8,7.6,24,19.9,21.2,47.5,16.7,37.3,4.3,32.7,81.3,13.9,43.2,87.7,15.3,43.3,5.7,24.3,"(41.78321241510, -87.6570220054)"
IL,Chicago,1714000,17031671100,1714000-17031671100,"1,259",24.2,30.8,13.2,49.6,78,5.1,14.7,9.3,76.4,65.8,44.4,11.8,18.6,15.2,29.4,32.4,21.2,41,5.7,43.5,79.9,19.1,49.2,86.7,22.1,46.4,8.3,40.4,"(41.77678155780, -87.6617117662)"
IL,Chicago,1714000,17031671200,1714000-17031671200,"1,252",24.3,29.1,14.2,49.1,77,4.9,14.6,8.4,76,64.4,45,10.9,18.6,15,30.4,32.4,19.5,40.2,5.2,43.2,80.3,18.9,48.7,86,20.8,47.1,7.5,38.9,"(41.77669927920, -87.6665822535)"
IL,Chicago,1714000,17031671300,1714000-17031671300,"2,688",17.4,26.6,16.5,46.2,78.3,5.2,13,6.6,77.9,71.5,55.5,7.8,23.6,20.6,23.3,46.6,16.3,38.1,4,33.7,80.5,14.6,43.4,86.8,15.6,44.2,5.2,24.2,"(41.77390159980, -87.6713493319)"
